student_name,student_id,sex,shift 1,rank 1,shift 2,rank 2,shift 3,rank 3,shift 4,rank 4,shift 5,rank 5
d4743cd5a0e8a401b83d139eb924235143cf5394a28730d39bfdb7d325f1d6f2,6630002133,male,1,FCN49,2,FCN44,1,PUR45,1,FCN45,1,FCN54
ee5fa7606916cc9994d1c1a6f986f3b4926377c49d8923d3ef5d475e0d9349bd,6630003833,male,2,FCN62,1,FCN60,1,FCN61,1,FCN64,2,FCN59
79cb28ef79b086da8546693c0c362f957d3211d403fa2b86217c400bae7696d2,6630004433,male,1,BTS05,1,HPT01,1,BTS20,1,BTS14,2,BTS12
6e5cf96bde58559be4f0423fa9c3149eae506f78c3b862df9d3b6d75484a10af,6630006733,female,1,FCN68,2,FCN55,2,PUR04,2,FCN67,1,FCN66
e50488993ca3e7c428c8d21ccc546a588093234e6fb6d2bf07a33f1ce76a49cf,6630008033,female,2,FCN41,1,FCN32,2,CEN03,2,BTS15,2,FCN31
dea3ecd27602d4010763cee1f3d4f772ccb7b54ffd29d1ced86e29ffb94c07c3,6630009633,male,2,BTS17,2,CEN06,2,BKK19,2,FCN40,2,FCN84
c99be2ca9898b8fb35f2d44f3952c7608b4a55e436392de23b59d4adfc6b4242,6630010133,male,1,BTS14,1,BTS11,2,BKK37,2,BKK02,2,FCN96
8b02761bace0c36ffea3e75651d2d9c8137d153df9a206425172197b6a160ef5,6630011833,male,1,FCN21,2,FCN22,1,PUR49,1,FCN24,1,PUR46
f10a4ce571a306c2894e35e76e6b6447bbc298d4f94bfac8fd581adac831654c,6630013033,female,1,FCN94,1,BKK02,2,BTS21,2,BTS27,2,FCN30
87d0d4fc124c4c49b385285d27264772446d42bf54e4fcefbd99e380c6fa1d34,6630014733,female,2,BKK11,2,CEN09,1,BKK38,2,BKK04,2,BKK26
2c2e2aa7e8bb9c1645a15456673141f8432ff96a75af06a752468eb870bdc339,6630015333,female,1,BTS08,2,BKK21,1,BKK33,2,BKK05,1,BKK32
7e191b816f2f02f66b45375bbaa3b993351fef04eaa749a820965aa4b7713224,6630016033,female,2,BTS08,2,BKK30,1,BKK32,1,CEN06,1,FCN09
9e2f3a9832f4cde6332ed8b5b2b7d4d276f479738e60c3ac8a8a8eb81ade39cd,6630017633,male,1,FCN45,1,FCN47,1,PUR40,1,PUR34,1,FCN51
c172ea06d1640a4d411c300894f0425ea06ed33df6799171a220588d41022dae,6630019933,female,2,PUR01,2,FCN65,1,FCN57,2,FCN68,2,FCN56
f39c5dd3d9377acfde252c8667c559e626c46b656e14c94a64fef76274bcf9ac,6630020433,male,2,FCN33,2,FCN41,1,BTS13,2,FCN31,1,FCN34
a364fde783bb65655c69093d4eda018bd831d7ac2d56f9a5502b3caaf0e79954,6630023333,female,2,FCN64,2,FCN59,2,FCN63,1,FCN61,2,FCN62
f0ea3c434cc41cc9778d219b9a3bc2ec428ae9dcedf558e06adcf2c07bccb157,6630025633,female,1,FCN27,2,BKK10,1,BKK24,2,BTS26,1,PUR54
c6893d9b0d24bc573bde40ad8b5bd65e78a00520b9d359c3dd3091b5fce490ea,6630026233,female,1,BTS19,2,BTS14,1,BTS22,2,BTS11,2,BKK12
a0b917059c41614ef429a05e3dd993a260168dcadf42d0afb284bdd2f7bca552,6630029133,male,2,BTS01,2,PUR01,2,FCN55,2,PUR03,2,FCN67
5008c1f06dec9fcc1158847f78acd12fe50493a8085dae4cb906133ee85db469,6630031333,male,2,PUR45,2,PUR37,2,FCN46,2,FCN50,1,PUR38
d8d40f9bc5f3ab36b40beb68ce87bee007154b30c4c6034c36935fab1db007a9,6630032033,male,1,BTS27,2,FCN30,2,BTS23,2,FCN38,2,BTS11
7bc50438ba6c57a4b6189d2703777b96976748c96dbab91be21ce9ca1e913cf7,6630033633,male,2,BTS08,2,FCN10,2,FCN17,2,PUR28,1,BKK36
536774252535f199f8660565407ffd88f4df16183f2ba09210b55b000939236e,6630034233,female,2,FCN52,1,PUR32,2,FCN53,2,FCN44,1,FCN48
d5e7cd83b86b5eb04e993d00e45e6c0c68aff0c1aa3594c0a8a267a76e46482e,6630035933,male,2,FCN91,1,CEN11,2,FCN95,2,BKK10,1,PUR47
f49f337194e926e0e291b3bff8baa01a42cf8136a13c17d133db0e7d76a51630,6630036533,female,2,BTS18,1,BTS12,2,BTS11,1,BTS04,1,FCN38
a9f3f48c7a7629e633d938f6b2e4ea929aa15808dc64a08698b4b8a2a0c3a062,6630037133,male,2,BTS01,2,FCN67,1,FCN66,2,FCN55,2,FCN70
5dd0da8fc2cc435a97b6d3d3b15673b78bf5104f3981443d97e0a716512c5f40,6630038833,female,2,BKK42,1,FCN87,2,CEN16,1,BKK27,1,FCN93
9c5938bdcf5737a2c01ff6dff5f92e1f3c103efdc8adc76b47b5222bd1cae0e2,6630039433,female,1,BKK29,1,BKK17,1,BKK03,1,FCN09,1,CEN06
75d3ad357334ba179ff8acf406e839a63fdf4241235a03bb2ba06edb8d47933d,6630041633,female,1,FCN01,2,BKK40,1,FCN92,2,FCN93,2,BTS08
0da482e9c59a473a642df62a9b4c7befa74d93e26b2e484b34fcca6e1454daf1,6630042233,male,2,PUR29,1,BKK20,1,BKK34,1,PUR39,1,PUR30
fb9e5637deae601e9c2d6c7da7b892ef28957598b22e8ed0891e85c34323e02d,6630043933,female,2,FCN70,1,FCN67,1,FCN66,1,FCN68,1,FCN55
3de943800ce43f92a6d5fa6ceb871c3493a4640649a509d7553884af594eb06e,6630045133,female,1,FCN97,2,FCN80,1,PUR22,2,FCN02,1,PUR23
a5c7becdeedbd3cd9569fcf3356317c2043a44c16beb4c876fd2e9982c363432,6630046833,female,2,BTS07,1,PUR22,1,FCN02,2,FCN72,2,PUR23
77fce2edcd7510ff3d29932ba8dc865da81526abb62b280777b36871ec9ccbd6,6630047433,male,2,FCN22,1,CEN13,1,PUR51,1,CEN18,2,FCN27
940b8f9ba3106cb4522cfcd23204ed03a4f181fe2948bc5b846cda2ec737a3b8,6630050233,female,1,BKK16,1,PUR25,2,BKK25,2,BKK08,1,BKK33
3d5b85bbb01a44bda1714b07cccddfb4307d40abcf48bfcfaeefcb0219e74371,6630052533,female,1,FCN69,2,FCN67,2,FCN55,2,FCN66,1,BTS01
